t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
153.3,106479.94293385533,106432.42884553423,306.37225950968644,0.0,106963.5741681156,106913.37905309639,306.5030651589422,0.0,112452.24612223184,112444.28822132536,305.2168567119378,0.0,1.3466382127916527e8
155.125,106478.79552996495,106429.60109595813,305.7790696932815,0.0,106962.61858266222,106910.74709943455,305.9132976952476,0.0,112451.8980543007,112450.87354948132,304.23852457139327,0.0,1.3466263267436516e8
156.95,106478.85319729087,106428.00094678425,305.2046740254356,0.0,106962.86815196206,106909.34657955513,305.3417425461447,0.0,112453.45145977728,112454.42786849577,303.5524790307732,0.0,1.3466397136366832e8
158.775,106481.92354265756,106429.46979861594,304.67726372898767,0.0,106966.13060814487,106911.02464413177,304.81571818352126,0.0,112459.75854877307,112450.40466465642,303.59714998996424,0.0,1.3467162828822976e8
160.6,106484.99388802426,106430.93865044766,304.1498534325397,0.0,106969.3930643277,106912.70270870841,304.28969382089775,0.0,112466.06563776887,112446.3814608171,303.6418209491553,0.0,1.346792852127912e8
162.425,106488.06423339095,106432.40750227935,303.6224431360917,0.0,106972.65552051051,106914.38077328505,303.76366945827425,0.0,112472.37272676466,112442.35825697776,303.68649190834634,0.0,1.3468694213735265e8
164.25,106491.13457875764,106433.87635411105,303.09503283964375,0.0,106975.91797669334,106916.0588378617,303.2376450956508,0.0,112478.67981576046,112438.33505313842,303.7311628675374,0.0,1.346945990619141e8
166.075,106494.20492412434,106435.34520594275,302.5676225431958,0.0,106979.18043287615,106917.73690243834,302.7116207330273,0.0,112484.98690475625,112434.31184929909,303.7758338267285,0.0,1.3470225598647553e8
167.9,106497.27526949103,106436.81405777445,302.0402122467478,0.0,106982.44288905898,106919.41496701498,302.1855963704038,0.0,112491.29399375206,112430.28864545975,303.8205047859195,0.0,1.3470991291103697e8
169.725,106500.34561485771,106438.28290960615,301.51280195029983,0.0,106985.70534524179,106921.09303159162,301.65957200778035,0.0,112497.60108274785,112426.26544162042,303.8651757451106,0.0,1.347175698355984e8
171.55,106503.4159602244,106439.75176143786,300.9853916538519,0.0,106988.96780142462,106922.77109616826,301.13354764515685,0.0,112503.90817174365,112422.24223778109,303.90984670430163,0.0,1.3472522676015985e8
173.375,106506.4863055911,106441.22061326956,300.45798135740387,0.0,106992.23025760743,106924.4491607449,300.6075232825334,0.0,112510.21526073944,112418.21903394174,303.9545176634927,0.0,1.347328836847213e8
175.2,106512.1694631326,106445.7594750751,299.65195741247015,0.0,106998.04511484159,106929.1370337921,299.79773291003346,0.0,112518.51257819055,112423.34577424556,303.6149176505332,0.0,1.3473806085688296e8
177.025,106518.66912447872,106451.25771499747,298.7588667023846,0.0,107004.6575974043,106934.76547198632,298.89926565944717,0.0,112527.43184203394,112431.3318720941,303.15523295877665,0.0,1.347424631064197e8
178.85,106525.16878582485,106456.75595491985,297.865775992299,0.0,107011.27007996698,106940.39391018056,298.0007984088609,0.0,112536.35110587733,112439.31796994265,302.6955482670201,0.0,1.3474686535595644e8
180.675,106531.66844717097,106462.25419484221,296.97268528221343,0.0,107017.88256252969,106946.02234837478,297.1023311582746,0.0,112545.27036972072,112447.30406779119,302.2358635752636,0.0,1.347512676054932e8
182.5,106538.1681085171,106467.75243476458,296.0795945721279,0.0,107024.49504509238,106951.65078656902,296.2038639076883,0.0,112554.18963356409,112455.29016563974,301.77617888350704,0.0,1.3475566985502994e8
184.325,106544.66776986323,106473.25067468696,295.18650386204234,0.0,107031.10752765507,106957.27922476326,295.305396657102,0.0,112563.10889740748,112463.2762634883,301.3164941917505,0.0,1.347600721045667e8
