t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
255.5,0.1,0.0,86411.76323756608,85810.71231906599,256.3028761592009,0.0,1.1608848523311275e8,-9.285739758132795
257.325,0.1,0.0,86423.65572753975,85815.21852208716,256.204234568233,0.0,1.161128435264308e8,-9.286357046217887
259.15,0.1,0.0,86435.74420456261,85820.74303687822,256.2647697329292,0.0,1.1613682635784362e8,-8.247243777628036
260.975,0.1,0.0,86448.00194312792,85827.14700274327,256.4627757320625,0.0,1.1616048492670192e8,-8.248121033225985
262.8,0.1,0.0,86460.25968169323,85833.55096860832,256.6607817311958,0.0,1.1618414349556021e8,-8.248998288823941
264.625,0.1,0.0,86472.51742025856,85839.95493447337,256.8587877303291,0.0,1.1620780206441852e8,-8.24987554442189
266.45,0.1,0.0,86484.77515882388,85846.35890033841,257.05679372946236,0.0,1.1623146063327682e8,-8.250752800019843
268.275,0.1,0.0,86497.47131995118,85854.86360355424,257.98652438684593,0.0,1.162603141179951e8,-6.5039679266487065
270.1,0.1,0.0,86510.39481129579,85864.457577989,259.2956678299889,0.0,1.162918612627889e8,-6.505282169721961
271.925,0.1,0.0,86523.31830264041,85874.05155242376,260.6048112731318,0.0,1.1632340840758273e8,-6.506596412795214
273.75,0.1,0.0,86536.24179398503,85883.64552685851,261.91395471627476,0.0,1.1635495555237654e8,-6.507910655868469
275.575,0.1,0.0,86549.16528532965,85893.23950129327,263.2230981594177,0.0,1.1638650269717035e8,-6.509224898941723
277.4,0.1,0.0,86562.09240192632,85906.97417790076,264.8253081595609,0.0,1.1641733253327592e8,-3.6041065484376116
279.225,0.1,0.0,86575.02053812513,85921.87342699434,266.50994312886047,0.0,1.164479606263129e8,-3.6061475414641304
281.05,0.1,0.0,86587.94867432394,85936.77267608792,268.19457809816,0.0,1.1647858871934989e8,-3.6081885344906475
282.875,0.1,0.0,86600.87681052275,85951.67192518148,269.8792130674595,0.0,1.1650921681238689e8,-3.6102295275171628
284.7,0.1,0.0,86613.80494672156,85966.57117427506,271.563848036759,0.0,1.1653984490542386e8,-3.61227052054368
